F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,Target
61.22,6,0,UK,-14.91,1030.95,614.7,-8.4,11.96,275.99,-333.6,1.86,19.48,6,Very high,7841.5,1605.31
86.58,12,20.07,Europe,0.57,1059.87,1354,-9.97,3.8,347.1,-356.04,6.39,22.15,2,Very low,25589.98,0
75.95,6,45,USA,-1.29,1320.03,1477.96,-10.02,20.32,345.69,-353.58,13.14,21.87,8,Low,16849.14,3241.77
156.57,12,12.93,USA,-4.83,1696.92,750.14,-10.98,4.78,253.37,-254.37,15.48,28.11,10,Very low,10791.06,0
101.27,3,0.51,Rest,-26.28,1451.37,251.06,-9.71,2.06,242.35,-379.77,3.9,23.84,10,Very low,14760.66,336.25
71.26,3,0.3,UK,-15.21,1487.33,1306.14,-12.49,0.68,269.66,-457.65,14.7,19.95,14,Low,14435.18,1329.66
50.57,9,10.26,Rest,-18.21,1186.75,932.94,-6.15,9.08,271.92,-439.59,12.24,25.85,0,Low,17096.7,442.63
87.89,9,0,Rest,-10.14,926.61,1639.46,-13.05,9.98,305.29,-281.67,17.55,23.1,2,Very low,6522.9,93.74
118.36,18,4.86,Europe,-6.93,1214.24,1219.74,-14.71,16.54,371.58,-335.52,19.41,22.38,8,Low,30103.14,1740.35
66.03,24,0.81,UK,-0.09,562.41,753.88,-10.48,3.44,253.17,-315.9,24.72,20.87,8,Low,10660.2,869.92
96.35,3,4.56,Europe,12.36,2043.83,1199.8,-15.7,4.6,224.19,-421.83,29.07,19.72,8,Low,18108.7,1753.12
104,15,0.03,Rest,-7.92,1227.95,1562.58,-11.03,11.02,339.11,-325.74,28.32,19.13,10,Low,26054.68,583.67
76.01,9,0.09,UK,-10.38,1357.2,1615.52,-10,11.04,274.96,-373.29,9.87,22.66,0,Low,13651.66,78.22
122.39,3,0.03,Rest,-11.04,1557.97,1726.4,-13.85,7.96,330.31,-390.21,10.23,26.54,12,Very high,17729.92,737.85
140.49,15,0,UK,-0.72,1624.59,314.06,-8.85,12.66,292.28,-290.52,12,20.41,12,Medium,17860.84,1096.39
111.34,9,4.83,USA,-10.74,1072.32,903.04,-12.85,12,218.52,-358.44,10.53,20.27,6,Low,20933.46,2369.53
91.66,9,4.92,Rest,4.35,958.79,822.74,-7.94,3.24,268.48,-389.28,15.66,21.16,10,High,7329.68,957.84
73.83,12,0.24,Europe,-11.94,1782.6,1060.18,-9.23,4.94,186.65,-233.61,6.03,13.96,8,Very high,7939,0
48.64,18,7.29,USA,-18.15,1145.55,249.98,-9.45,2.3,260.89,-360.72,8.13,19.85,10,High,20483.76,1460.68
68.81,18,6.72,UK,-14.04,966.52,903.8,-9.6,3.28,305.25,-268.35,15.18,22.09,8,High,22943.04,371.23
101.86,21,0.06,USA,-8.37,1057.45,472.36,-7.59,1.04,211.31,-486.9,17.55,20.6,14,Very high,10180.4,3687.89
141.01,0,3.81,UK,-19.53,2145.81,289.94,-6.74,11.76,272.9,-475.95,33.51,22.35,10,Very high,18764.4,3439.79
139.29,15,5.25,USA,-0.15,1626.72,-176.88,-9.5,4.12,276.25,-110.31,8.64,23.87,10,Medium,24291.3,0
44.75,18,14.91,UK,-3.15,1426.08,1700.52,-9.5,8.46,298.75,-308.67,27.93,19.13,4,Very low,15058.12,0
90.67,21,24.51,UK,16.11,1337.1,890.92,-6.67,2.3,285.22,-377.04,5.94,13.62,10,Medium,20671.96,0
117.62,12,28.71,USA,-7.86,1237.79,1676.32,-11.49,20.8,274.73,-285.69,8.85,17.97,4,Very high,16022.4,1783.97
86.52,6,27.3,Rest,-14.37,1136.29,305.82,-8.29,1.06,285.15,-347.61,10.02,14.92,8,Very high,12565.44,734.56
62.85,12,0.09,Europe,-4.14,1017.42,1508.54,-12.09,10.5,289.46,-279.24,14.97,18.25,6,Medium,8148.56,506.55
120.49,15,1.44,USA,-4.5,1799.52,772.68,-8.51,4.62,279.89,-447.66,14.22,22.38,10,Very high,16223.88,2448.73
98.78,9,5.55,Europe,-8.43,991.43,1634.22,-7.93,2.04,254.69,-275.94,15.21,19.55,14,Very low,32630.9,0
98.27,18,1.53,Europe,-7.89,1504.41,492.86,-10.36,11.4,300.89,-367.29,9.3,19.28,4,Very low,13750.66,0
104.33,9,0.39,UK,1.68,1551.62,684.96,-9.77,2.7,245.67,-389.52,26.88,18.32,16,High,12954.48,2128.83
143.97,6,6.21,UK,-16.08,1724.94,1691.9,-14.03,11.38,351.72,-318.12,5.4,12.86,6,Low,15490.3,0
28.01,15,5.85,Europe,12.75,1194.8,1814.86,-5.26,20.94,229.84,-290.16,6.3,14.42,12,Low,3664.68,932.19
112.28,6,8.55,UK,0.84,1719.55,1213.6,-11.48,8.34,293.26,-302.43,10.17,19.95,10,High,16372.16,588.91
96.2,18,3.54,Rest,1.53,1025.42,1402.92,-11.5,10.04,285.83,-345.3,4.47,22.15,4,Low,18994.7,0
56.96,6,3.18,USA,8.49,1385.34,1893.36,-11.65,13.7,372.07,-367.41,7.17,29.81,4,Very low,15554.96,120.67
107.8,9,3.75,Europe,3.99,1073.09,1595.88,-12.04,3.86,296.89,-272.46,6.18,18.42,4,Medium,20459.5,0
70.41,12,115.77,Europe,0.48,1341.25,1409.42,-11.62,14.34,226.61,-344.01,20.4,15.79,10,Very high,16273.28,2574.41
