F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Class
20,-21.42,13.1,464.04,-6.1,-4.5,-18.66,27.54,20.1,-7.08,-16.32,365,0.47,3.4,-3.9,False
20,-27.12,13.5,299.04,-6.18,-4.91,-18.66,27.44,18.2,-12.84,-11.07,205,-129.53,7.12,,False
20,-33.87,10.5,854.04,-9.32,-7.16,-18.66,25.44,11.9,-5.46,-11.01,330,-44.53,4.62,-3.84,False
20,-25.38,19.4,809.04,-12.69,-4.95,-23.66,25.54,19.6,-11.31,-7.53,215,-54.53,2.26,,False
20,-23.22,16,359.04,-7.7,-4.36,-8.66,26.64,25.8,-12.69,-10.2,85,-134.53,-0.2,-7.76,True
2,-34.38,1.54,281.04,-10.96,-8.95,-5.66,16.08,1.56,-0.78,-13.5,19,-51.53,7.18,,False
20,-23.85,10.8,359.04,-7.91,-5.57,-8.66,26.74,23,-12.3,-9.9,55,-129.53,-0.66,-4.52,False
20,-22.62,14.9,419.04,-8,-5.49,-28.66,25.74,11.4,-13.44,-8.43,145,-29.53,-0.34,,False
2,-34.83,1.86,290.04,-10.8,-8.75,-7.66,15.94,2.3,1.68,-12.21,13,-48.53,12.06,-6.11,True
2,-38.64,0.08,221.04,-10.39,-10.31,-7.66,15.84,2.46,2.91,-15.69,2,-57.53,7.36,,False
2,-34.74,0.4,278.04,-10.2,-8.8,-7.66,16.48,2.12,-1.59,-11.13,2,-41.53,9.1,-6.08,True
2,-46.53,1.48,191.04,-10.28,-10.26,-5.66,15.24,3.26,5.28,-13.74,36,-63.53,7.7,,False
20,-32.22,14.8,749.04,-7.2,-6.71,-28.66,24.84,19.1,-9.12,-6.99,85,5.47,2.52,,False
20,-26.49,17.5,824.04,-6.2,-5.32,-18.66,27.24,14.2,-12.24,-6.51,10,-59.53,1.06,,False
20,-20.82,14.3,674.04,-5.11,-4.14,-18.66,34.14,14.1,-17.22,-12,150,-129.53,-0.2,-6.39,True
